Department Code,Department Name
BAAA,ANTI AGEING
BAAB,PIGMENTATION
BAAC,ACNE
BAAD,GENERAL
BAAE,SKINCARE GIFT OFFER
BAAF,MEN
BBBO,OLD DELETE
BBGA,ACCESSORIES
BBGF,JEWELLERY
BBGG,GROOMING GIFT & VALUE OFFER
BBGN,NAIL GROOMING
BBGS,SUNDRIES GROOMING
BBSN,BODY CARE
BCCE,EYES COLOUR
BCCF,FACE COLOUR
BCCG,COLOUR GIFT & VALUE OFFER
BCCL,LIPS
BCCN,NAIL COLOUR
BCCS,COLOUR SETS
BFAA,CANDLES
BFAB,DIFFUSERS
BFAC,ROOM FRAGRANCE
BPFB,LIFESTYLE
BPFC,KIDDIES
BPFG,FRAGRANCE GIFT & VALUE OFFER
BPFM,FRAGRANCE - MASS
BPFP,FRAGRANCE - FINE
BPFR,OTHER
BPFS,SALE
BPFT,TOILETRY
CAAA,CELLULAR
DISC,REBATE-
FBBA,BABY PAPER
FBBB,BABY FOODS
FBBC,BABY HARDWARE
FBBD,BABY FEEDING
FBBE,BABY TOLIETRIES
FBBG,BABY UNSCHEDULED PRODUCTS
FBBH,MATERNITY
FDAA,FMCG BANDAGES
FDAB,FMCG DISINFECTANTS
FDAC,FMCG DRESSINGS
FDAD,FMCG ELECTRICAL
FDAE,FMCG HOT & COLD PACKS
FDAF,FMCG FAD KITS
FDAG,FMCG NEEDLES & SYRINGES
FDAH,FMCG PILL BOXES
FDAI,FMCG PLASTERS
FDAJ,FMCG RUBS & SPORT ANTI INFLAM
FDAK,FMCG FAD SUNDRIES
FDAL,FMCG SURGICAL GLOVES
FDAM,FMCG HOMECARE
FDAN,PACKED LINES
FDAO,DISTILLED WATER
FFFO,FMCG OLD DELETE
FNAA,EYEWARE
FNAQ,EYEWARE ACCESSORIES
FNBA,CARDS AND GIFTING
FNBB,BOOKS
FNBM,MAGAZINE
FNBN,NEWSPAPER
FNBS,STUDENT AND OFFICE
FNCB,BEVERAGES
FNCC,GUM
FNCD,CHOCOLATE
FNCE,SUGAR LINES
FNCF,THROAT
FNCS,SNACK
FNDC,DVD & CD
FNEA,BAGS
FNFA,TRAVEL
FNGA,CHRISTMAS
FNGB,RAIN WEAR
FNGC,WINTER
FNGD,SUMMER
FNHC,CLEANING
FNHD,AIR FRESHNERS
FNHE,STORAGE
FNHH,SUNDRIES
FNHO,OUTDOOR
FNHV,PET
FNHW,WATER FILTRATION
FNIA,PAPER
FNKA,KITCHENWARE
FNKC,FANCIES
FNLA,TOYS GENERAL
FNMA,CLOTHING
FNOA,SHOPPING BAGS
FNSH,PHOTO
FNTA,HOME APPLIANCES
FNTB,MASSAGERS
FNTC,HAIR ELECTRICAL
FNTD,SEASONAL
FNTE,BEAUTY APPLIANCES
FNUA,ELECTRICAL ADAPTORS
FNUB,ELECTRICAL CORDS
FNUC,CELLULAR ACCESSORIES
FNUD,AUDIO
FNUE,LIGHTING
FNUF,MULTIMEDIA
FNUG,GADGETS
FNVA,ALKALINE BATTERIES
FNVB,SPECIALITY BATTERIES
FNVC,LITHIUM BATTERIES
FNVD,RECHARGABLE BATTERIES
FNVE,BATTERY ACCESSORIES
FPBA,BATH
FPBB,BATH CHILDREN
FPBC,BATH ACCESORIES
FPBF,FOAM BATH
FPBG,SHOWERGELS
FPBL,LIQUID HANDWASH
FPBS,SOAPS
FPBT,BATH CARE SANITIZERS
FPCF,MENS FACE CARE
FPDM,MEN
FPDW,WOMEN
FPFA,SPECIALISED FOOTCARE
FPFB,FOOTWEAR
FPFT,FOOT TREATMENTS
FPHA,PROFFESSIONAL AFFORDABLE
FPHC,HAIR COLOUR
FPHD,HAIR ACCESORIES
FPHE,ETHNIC
FPHH,WASH & CARE
FPHI,COSMETIC
FPHJ,BASIC
FPHK,MEDICATED
FPHS,STYLING
FPIA,INTIMATE CARE UNDERWEAR
FPIF,FEMININE HYGIENE
FPIP,SANITARY PROTECTION
FPIS,SEXUAL WELL BEING
FPJA,INCONTINENCE
FPOA,TOOTHBRUSHES MANUAL
