Date,Description,Amount
29/11/2025,SERVICE FEE ACC   301666148,-341.40
29/11/2025,MONTHLY MANAGEMENT FEE ACC   301666148,-110.00
29/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000304515587,18796.65
29/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000234515587,15697.15
29/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000114515587,12899.00
29/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000304515587,6381.34
29/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000234515587,5934.80
29/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000114515587,3776.17
29/11/2025,IB PAYMENT TO Khumbula Trading Khumbulatrad,-13955.11
29/11/2025,IB PAYMENT TO Arrie Nel,-11602.60
28/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000104515587,16021.14
28/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000294515587,15883.25
28/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000224515587,12854.31
28/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000104515587,6329.63
28/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000294515587,3049.50
28/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000224515587,3014.26
28/11/2025,ACCOUNT PAYMENT K2011SA   NASHUA 024749,-5260.07
27/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000284515587,21078.68
27/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000214515587,13729.90
27/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000094515587,13206.35
27/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000284515587,4563.53
27/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000094515587,2335.82
27/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000214515587,1481.36
27/11/2025,IB PAYMENT TO Cj Pharmaceutical Cj Pharma,-300000.00
26/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000274515587,24315.08
26/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000084515587,14817.30
26/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000204515587,7334.89
26/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000274515587,3430.13
26/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000084515587,2684.85
26/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000204515587,2542.05
26/11/2025,IB TRANSFER FROM SB1-SB2,200000.00
25/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000264515587,13872.35
25/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000074515587,9188.41
25/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000194515587,8166.17
25/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0000264515587,6004.74
25/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000194515587,5160.26
25/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0000074515587,4534.45
24/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0000184515587,6340.40
24/11/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0000184515587,3058.54
24/11/2025,IB PAYMENT TO Reitz Apteek Reitz ABSA,-200000.00
24/11/2025,IB PAYMENT TO A Toy For You,-19070.35
24/11/2025,IB PAYMENT TO Transpharm,-13966.27
24/11/2025,IB PAYMENT TO Maria Smith,-8004.00
24/11/2025,IB PAYMENT TO Julien Maduna Julienmaduna,-7425.00
24/11/2025,IB PAYMENT TO Bassopa Sekuriteit Bassopa BS0,-835.00
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0000244515587,15666.98
22/11/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0000064515587,12459.83
